Chinese,English
的,of; possessive particle
一,one
是,to be
不,not; no
了,completed-action particle
在,at; in; to be located
人,person; people
有,to have; there is
我,I; me
他,he; him
这,this
个,general measure word
们,plural suffix for people
中,middle; center; in
来,to come
上,up; on; above
大,big; large
为,for; to act as
和,and; with
国,country
地,earth; ground; adverbial particle
到,to arrive; to
以,by; with; according to
说,to speak; to say
时,time; when
要,to want; need; will
就,then; just; precisely
出,to go out; to produce
会,can; will; meeting
可,can; may
也,also; too
你,you
对,correct; toward; pair
生,to be born; life
能,can; to be able
而,and; but; while
子,child; suffix
那,that
得,to obtain; complement particle
于,at; in; from; than
着,continuous-action particle
下,down; below; next
自,self; from
之,of; it; literary particle
年,year
过,to pass; experiential particle
发,to send; to issue
后,after; behind
作,to do; to make
里,inside
用,to use
道,road; way; measure word
行,to go; okay; profession
所,place; measure word
然,so; correct; suffix
家,home; family; specialist
种,kind; type; to plant
事,matter; thing
成,to become; to complete
方,direction; side; method
多,many; much
经,to pass through; scripture
么,interrogative suffix
去,to go
法,law; method
学,to study; learning
如,as; like; if
都,all; both
同,same; together
现,present; current; to appear
当,when; to act as; should
没,not have; no
动,to move
面,face; surface; noodles
起,to rise; to start
看,to look; to watch
定,to decide; fixed
天,day; sky
分,to divide; minute; part
还,still; also; to return
进,to enter; to advance
好,good; well
小,small; young
部,part; department; measure word
其,his; her; its; their
些,some; few
主,main; owner
样,appearance; kind
理,reason; principle; to manage
心,heart; mind
她,she; her
本,root; book; measure word
前,front; before
开,to open; to start
但,but; however
因,cause; because
只,only; measure word for animals
从,from; to follow
想,to think; to want
实,real; solid
日,day; sun
军,army; military
者,person who; -er
意,meaning; intention
无,without; none
力,strength; power
它,it
与,and; with; to give
长,long; to grow; chief
把,to hold; disposal particle
机,machine; opportunity
十,ten
民,people; citizen
第,ordinal prefix
公,public; male; fair
此,this; these
已,already
工,work; worker
使,to make; to use; envoy
情,feeling; situation
明,bright; clear; next
性,nature; gender; -ness
知,to know
全,whole; all
三,three
又,again; also
关,to close; relation; pass
点,point; dot; o'clock; a little
正,correct; just; upright
业,business; occupation; study
外,outside; foreign
将,will; to take; general
两,two; both
高,high; tall
间,between; room; measure word
由,from; by; because of
问,to ask; question
很,very
最,most
重,heavy; important; again
并,and; moreover; to combine
物,thing; object
手,hand
应,should; to respond
战,war; battle
向,toward; direction
头,head; first; measure word
文,language; writing; culture
体,body; form; system
政,politics; government
美,beautiful; America
相,mutual; appearance; minister
见,to see; to meet
被,by; passive particle
利,benefit; sharp
什,what
二,two
等,to wait; class; and so on
产,to produce; property
或,or; perhaps
新,new
己,self
制,system; to make; control
身,body; oneself
果,fruit; result
加,to add; Canada
西,west
斯,this; phonetic character
月,month; moon
话,speech; words
合,to combine; suitable
回,to return; time; chapter
特,special
代,generation; to replace
内,inside; internal
信,letter; trust; believe
表,surface; table; watch; express
化,to change; -ize
老,old; experienced
给,to give; for
世,world; generation
位,position; polite measure word
次,time; order
度,degree; measure
门,door; field; measure word
任,to appoint; any; term
常,often; ordinary
先,first; earlier
海,sea
通,to pass; connect; understand
教,to teach; religion
儿,child; suffix
原,original; reason; plain
东,east
声,sound; voice
提,to lift; to mention
立,to stand; establish
及,and; to reach
比,to compare; than
员,member; employee
解,to solve; understand; untie
水,water
名,name; famous; measure word
真,real; really
论,theory; to discuss
处,place; to handle
走,to walk; to leave
义,justice; meaning
各,each; every
入,to enter
几,how many; several
口,mouth; measure word
认,to recognize; admit
条,strip; article; measure word
平,flat; peaceful; equal
系,system; department; to connect
气,air; energy; anger
题,question; topic
活,to live; work; alive
尔,you; thus; phonetic character
更,more; even more; to change
别,other; do not; to separate
打,to hit; to make; dozen
女,woman; female
变,to change
四,four
神,spirit; god; mind
总,total; always; chief
何,what; how; why
电,electricity
数,number; to count
安,peaceful; safe; to install
少,few; little; young
报,to report; newspaper
才,only then; talent
结,to tie; result
反,opposite; to oppose
受,to receive; suffer
目,eye; item; goal
太,too; very
量,amount; to measure
再,again; then
感,to feel; feeling
建,to build; establish
务,affair; to engage in
做,to do; to make
接,to receive; connect
必,must; certainly
场,field; place; measure word
件,item; piece; measure word
计,to calculate; plan
管,to manage; tube; regardless
期,period; to expect
市,city; market
直,straight; direct
德,virtue; Germany
资,resources; capital
命,life; fate; command
山,mountain
金,gold; money; metal
指,finger; to point; indicate
克,to overcome; gram
许,to allow; perhaps; many
统,to unite; system
区,area; district
保,to protect; guarantee
至,to; until; most
队,team; group
形,shape; form
社,society; agency
便,convenient; then; cheap
空,empty; air; sky
决,to decide; definitely
治,to govern; treat
展,to unfold; exhibit
马,horse
科,subject; science; department
司,company; to manage
五,five
基,base; foundation
眼,eye
书,book; to write
非,not; wrong; Africa
则,then; rule
听,to listen; hear
白,white; clear; in vain
却,but; however; to retreat
界,boundary; world
达,to reach; express
光,light; only; smooth
放,to put; release
强,strong; powerful
即,namely; immediately; even if
像,image; to resemble
难,difficult; disaster
且,and; moreover; for now
权,power; right
思,to think; thought
王,king; surname Wang
象,elephant; image; phenomenon
完,to finish; complete
设,to set up; suppose
式,style; formula; type
色,color; appearance
路,road; route
记,to remember; record
南,south
品,product; quality; item
住,to live; stay; stop
告,to tell; announce
类,kind; category
求,to seek; request
据,according to; evidence; occupy
程,journey; procedure
北,north
边,side; edge
死,to die; dead
张,to open; sheet; surname Zhang
该,should; this; that
交,to hand over; make friends; intersect
规,rule; compass; plan
万,ten thousand
取,to take; obtain
拉,to pull
格,pattern; standard; grid
望,to look; hope; full moon
觉,to feel; sleep
术,skill; technique
领,to lead; collar; receive
共,together; total; communist
确,certain; true
传,to pass on; spread; biography
师,teacher; master; division
观,to observe; view
清,clear; clean; Qing dynasty
今,today; now
切,to cut; all; closely
院,courtyard; institution
让,to let; allow
识,to know; knowledge
候,to wait; season; condition
带,belt; to bring; zone
导,to guide; lead
争,to fight; compete
运,to transport; luck; movement
笑,to laugh; smile
飞,to fly
风,wind; style
步,step; pace
改,to change; correct
收,to receive; collect
根,root; basis; measure word
干,dry; to do; trunk
造,to make; create
言,speech; word; to say
联,to unite; connect
持,to hold; maintain
组,group; to organize
每,every; each
济,to aid; economy
车,vehicle; car
亲,relative; close; to kiss
极,extreme; pole; very
林,forest
服,clothes; to serve; obey
快,fast; happy; soon
办,to handle; do
议,to discuss; opinion
往,toward; past
元,yuan; unit; first
英,brave; English; Britain
士,scholar; soldier; specialist
证,proof; certificate; prove
近,near; recent
失,to lose; miss
转,to turn; transfer
夫,husband; man
令,to order; command; season
准,accurate; to permit; standard
布,cloth; to announce; spread
始,to begin; start
怎,how
呢,question particle
存,to exist; save; deposit
未,not yet; future
远,far; distant
叫,to call; be called; shout
台,platform; station; measure word
单,single; list; sheet
影,shadow; image; film
具,tool; possess; measure word
罗,net; to collect; surname Luo
字,character; word
爱,to love; love
击,to hit; attack
流,to flow; stream; class
备,to prepare; equipment
兵,soldier; weapon
连,to connect; even; company
调,to adjust; investigate; tune
深,deep; profound
商,commerce; merchant; discuss
算,to calculate; count as
质,quality; substance; to question
团,group; round; organization
集,to gather; collection; episode
百,hundred
需,to need
价,price; value
花,flower; to spend
党,political party
华,splendid; Chinese
城,city; city wall
石,stone
级,level; grade
整,whole; to arrange
府,government office; mansion
离,to leave; from
况,situation; moreover
亚,Asia; second
请,please; to invite
技,skill; technology
际,border; between; occasion
约,about; appointment; agreement
示,to show; indicate
复,to return; repeat; complex
病,illness; sick
息,breath; rest; information
究,to investigate; after all
线,line; thread
似,to seem; similar
官,official; organ
火,fire
断,to break; decide; absolutely
精,essence; refined; skilled
满,full; satisfied
支,branch; support; measure word
视,to look at; vision
消,to disappear; consume
越,to cross; more and more; Vietnam
器,device; vessel; organ
容,to contain; appearance; tolerate
照,to shine; photo; according to
须,must; beard
九,nine
增,to increase
研,to study; grind
写,to write
称,to call; name; weigh
企,to stand on tiptoe; enterprise
八,eight
功,achievement; skill
吗,yes-no question particle
包,bag; package; to wrap
片,slice; piece; film
史,history
委,to entrust; committee
乎,in; at; question particle
查,to check; investigate
轻,light; gentle
易,easy; change; trade
早,early; morning
曾,once; formerly
除,to remove; divide; except
农,agriculture; farmer
找,to look for; find
装,clothing; to install; pretend
广,wide; broad
显,obvious; to display
吧,suggestion particle; bar
阿,prefix; phonetic character
李,plum; surname Li
标,mark; standard; label
谈,to talk; discuss
吃,to eat
图,picture; map; plan
念,to read; think of; idea
六,six
引,to pull; guide; attract
历,history; calendar; experience
首,head; first; measure word for songs
医,medicine; doctor
局,bureau; situation; game
突,sudden; to dash
专,specialized; focused
费,fee; to spend
号,number; name; date
尽,to exhaust; as much as possible
另,other; another
周,week; circumference; surname Zhou
较,comparatively; to compare
注,to pour; note; focus
语,language; speech
仅,only; merely
考,to test; examine
落,to fall; drop; settle
青,blue-green; young
随,to follow; according to
选,to choose; select
列,row; list; to arrange
